thread_id,thread_title,blocked_by,blocked_by_issue,blocking_issue_status,blocked_issue_number,blocked_issue_position,next_unread_position,dependency_note
240,Absolute Batman,Absolute Evil ,1,unread,13,14,11,
364,Absolute Catwoman,Absolute Evil ,1,unread,1,1,1,
375,Absolute Evil ,Absolute Wonder Woman,11,unread,1,1,1,
375,Absolute Evil ,Absolute Superman,11,unread,1,1,1,
375,Absolute Evil ,Absolute Batman,12,unread,1,1,1,
375,Absolute Evil ,Absolute Flash,6,unread,1,1,1,
361,Absolute Flash,Absolute Evil ,1,unread,7,7,3,
363,Absolute Green Arrow,Absolute Evil ,1,unread,1,1,1,
362,Absolute Green Lantern,Absolute Evil ,1,unread,4,4,4,
241,Absolute Martian Manhunter,Absolute Evil ,1,unread,6,6,6,
360,Absolute Superman,Absolute Evil ,1,unread,12,12,3,
248,Absolute Wonder Woman,Absolute Evil ,1,unread,12,12,9,
347,Free Comic Book Day 2024: Ultimate Universe / Spider-Man,Ultimate Spider-Man,4,unread,1,1,1,
348,Free Comic Book Day 2025: Amazing Spider-Man / Ultimate Universe,Ultimate Spider-Man,16,unread,1,1,1,
340,The Ultimates,Ultimate Spider-Man,5,unread,1,1,1,
340,The Ultimates,Ultimate Black Panther,5,unread,2,2,1,
340,The Ultimates,Ultimate Black Panther,7,unread,3,3,1,
340,The Ultimates,Ultimate X-Men,12,unread,4,4,1,
340,The Ultimates,Ultimate Black Panther,9,unread,5,5,1,
340,The Ultimates,Ultimate X-Men,14,unread,6,6,1,
340,The Ultimates,Ultimate Black Panther,10,unread,7,7,1,
340,The Ultimates,Ultimate Black Panther,11,unread,8,8,1,
340,The Ultimates,Ultimate X-Men,17,unread,9,9,1,
340,The Ultimates,Ultimate X-Men,18,unread,10,10,1,
340,The Ultimates,Ultimate X-Men,20,unread,11,11,1,
340,The Ultimates,Ultimate X-Men,21,unread,12,12,1,
340,The Ultimates,Ultimate X-Men,22,unread,13,13,1,
340,The Ultimates,Ultimate Spider-Man,19,unread,14,14,1,
340,The Ultimates,Ultimate Wolverine,8,unread,15,15,1,
